"","A1_nonTLS","A1_TLS","A2_nonTLS","A2_TLS","A4_nonTLS","A4_TLS","B1_nonTLS","B1_TLS","B2_nonTLS","B2_TLS","B3_nonTLS","B3_TLS","B4_nonTLS","B4_TLS","B5_nonTLS","B5_TLS","D1_nonTLS","D2_nonTLS","E1_TLS","E2_nonTLS","E2_TLS","E3_nonTLS","E3_TLS","E4_nonTLS","E4_TLS","F1_nonTLS","F1_TLS","F2_nonTLS","F2_TLS","F3_nonTLS","F3_TLS","F4_nonTLS","F4_TLS","G1_nonTLS","G2_nonTLS","KO1_nonTLS","KO1_TLS","KO10_nonTLS","KO10_TLS","KO11_nonTLS","KO11_TLS","KO12_nonTLS","KO12_TLS","KO2_nonTLS","KO2_TLS","KO3_nonTLS","KO3_TLS","KO4_nonTLS","KO4_TLS","KO5_nonTLS","KO5_TLS","KO6_nonTLS","KO6_TLS","KO7_nonTLS","KO7_TLS","KO8_nonTLS","KO8_TLS","KO9_nonTLS","KO9_TLS","WT1_nonTLS","WT2_nonTLS","WT3_nonTLS"
"0",1,1,3,0,5,9,5,4,23,25,48,8,8,7,17,8,0,1,1,0,0,2,12,2,2,11,10,8,8,8,3,5,6,2,1,7,11,18,36,27,35,3,13,8,18,5,26,2,25,8,42,7,35,8,33,1,47,2,33,0,2,2
"1",2,0,5,1,3,0,7,7,18,9,11,15,7,3,2,12,1,3,0,1,1,5,8,6,7,15,9,5,5,3,10,3,6,4,8,17,13,15,7,9,5,10,23,17,9,46,3,27,4,21,26,11,6,6,2,13,1,37,15,3,3,17
